FilePath,Project,Extension,Classification,AuditStatus,Notes
SmartAttendance.Application/AttendanceImports/ViewModels/AttendanceImportRowViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/AttendanceProcessing/Services/IAttendanceProcessingService.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/AttendanceProcessing/ViewModels/AttendanceProcessingResultViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/AttendanceRecords/Mappings/AttendanceRecordProfile.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/AttendanceRecords/Services/IAttendanceRecordService.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/AttendanceRecords/ViewModels/AttendanceRecordCreateViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/AttendanceRecords/ViewModels/AttendanceRecordDetailsViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/AttendanceRecords/ViewModels/AttendanceRecordEditViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/AttendanceRecords/ViewModels/AttendanceRecordListViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/AttendanceReports/Services/IAttendanceAdvancedReportService.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/AttendanceReports/Services/IAttendanceReportService.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/AttendanceReports/ViewModels/DailyAttendanceReportViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/AttendanceReports/ViewModels/MonthlyAttendanceReportViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Branches/Mappings/BranchProfile.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Branches/Services/BranchService.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Branches/Services/IBranchService.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Branches/ViewModels/BranchCreateViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Branches/ViewModels/BranchDetailsViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Branches/ViewModels/BranchEditViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Branches/ViewModels/BranchListViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Common/Interfaces/Repositories/ICompanyRepository.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Common/Interfaces/Repositories/IGenericRepository.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Common/Interfaces/Repositories/IUnitOfWork.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Common/Security/AnnouncementPermissionCodes.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Common/Security/EmployeeCompanyGuard.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Common/Security/ILoginIdentityService.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Common/Security/IPermissionAuthorizationService.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Common/Security/LoginIdentityRequest.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Common/Security/PeopleDataScope.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Common/Security/PeoplePermissionCodes.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Companies/Mappings/CompanyProfile.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Companies/Services/ICompanyService.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Companies/ViewModels/CompanyCreateViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Companies/ViewModels/CompanyDetailsViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Companies/ViewModels/CompanyEditViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Companies/ViewModels/CompanyListViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Departments/Mappings/DepartmentProfile.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Departments/Services/IDepartmentService.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Departments/ViewModels/DepartmentCreateViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Departments/ViewModels/DepartmentDetailsViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Departments/ViewModels/DepartmentEditViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Departments/ViewModels/DepartmentListViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Devices/Mappings/DeviceProfile.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Devices/Services/IDeviceService.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Devices/ViewModels/DeviceCreateViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Devices/ViewModels/DeviceDetailsViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Devices/ViewModels/DeviceEditViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Devices/ViewModels/DeviceListViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/EmployeePermissions/Services/IEmployeePermissionService.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/EmployeePermissions/ViewModels/EmployeePermissionAssignmentViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/EmployeePermissions/ViewModels/EmployeePermissionCheckViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/EmployeePermissions/ViewModels/EmployeePermissionEmployeeViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/EmployeePermissions/ViewModels/EmployeePermissionGroupViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/EmployeeShifts/Mappings/EmployeeShiftProfile.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/EmployeeShifts/Services/IEmployeeShiftService.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/EmployeeShifts/ViewModels/EmployeeShiftCreateViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/EmployeeShifts/ViewModels/EmployeeShiftDetailsViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/EmployeeShifts/ViewModels/EmployeeShiftEditViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/EmployeeShifts/ViewModels/EmployeeShiftListViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Employees/Mappings/EmployeeProfile.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Employees/Services/IEmployeeService.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Employees/ViewModels/EmployeeCreateViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Employees/ViewModels/EmployeeDetailsViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Employees/ViewModels/EmployeeEditViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Employees/ViewModels/EmployeeListQueryViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Employees/ViewModels/EmployeeListViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Employees/ViewModels/EmployeePagedResultViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Employees/ViewModels/PositionOptionViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Holidays/Mappings/HolidayProfile.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Holidays/Services/IHolidayService.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Holidays/ViewModels/HolidayCreateViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Holidays/ViewModels/HolidayDetailsViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Holidays/ViewModels/HolidayEditViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Holidays/ViewModels/HolidayListViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/LeaveRequests/Mappings/LeaveRequestProfile.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/LeaveRequests/Services/ILeaveRequestService.cs,SmartAttendance.Application,cs,SOURCE,REVIEWED,Phase 3 Module 4-5 + AUTHZ-003 fix
SmartAttendance.Application/LeaveRequests/ViewModels/LeaveRequestCreateViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/LeaveRequests/ViewModels/LeaveRequestDetailsViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/LeaveRequests/ViewModels/LeaveRequestEditViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/LeaveRequests/ViewModels/LeaveRequestListViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/MasterDataImports/Services/IMasterDataImportService.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/MasterDataImports/ViewModels/MasterDataImportPreviewRowViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/MasterDataImports/ViewModels/MasterDataImportPreviewViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/MasterDataImports/ViewModels/MasterDataImportResultViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Permissions/Mappings/PermissionProfile.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Permissions/Services/IPermissionService.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Permissions/ViewModels/PermissionCreateViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Permissions/ViewModels/PermissionDetailsViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Permissions/ViewModels/PermissionEditViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Permissions/ViewModels/PermissionListViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Setup/Services/ISetupService.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Setup/ViewModels/BulkAssignShiftViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Setup/ViewModels/CompanyPayrollSettingsViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Setup/ViewModels/CompanySetupProfileViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Setup/ViewModels/CompanySetupViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Setup/ViewModels/PayrollCutoffPolicyViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Setup/ViewModels/SetupActionResultViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Setup/ViewModels/SystemSetupViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Shifts/Mappings/ShiftProfile.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Shifts/Services/IShiftService.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Shifts/ViewModels/ShiftCreateViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Shifts/ViewModels/ShiftDetailsViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Shifts/ViewModels/ShiftEditViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Shifts/ViewModels/ShiftListViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/SmartAttendance.Application.csproj,SmartAttendance.Application,csproj,SOURCE,NOT REVIEWED,
SmartAttendance.Application/UserPermissions/ViewModels/PermissionCheckViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/UserPermissions/ViewModels/PermissionGroupViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Attendance/MovementConflictPolicy.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Common/AuditableEntity.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Common/BaseEntity.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Common/IEntity.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/AnnouncementAttachment.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/AnnouncementAudienceRule.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/AnnouncementAuditLog.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/AnnouncementChannel.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/AnnouncementComment.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/AnnouncementContent.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/AnnouncementGroup.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/AnnouncementReaction.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/AnnouncementReadReceipt.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/AnnouncementRecipient.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/AnnouncementSignature.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/AnnouncementTemplate.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/AttendanceRecord.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/Branch.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/Company.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/CompanyPayrollSetting.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/Department.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/Device.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/Employee.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/EmployeeAllowance.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/EmployeeContract.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/EmployeeDependent.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/EmployeeFileRecord.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/EmployeeFinancialInfo.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/EmployeeShift.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/EmployeeTask.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/EmployeeViolationCase.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/Holiday.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/HrJobPosition.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/HrTaskTemplate.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/LeaveBalance.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/LeaveRequest.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/PayrollCutoffPolicy.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/PayrollCutoffPolicyType.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/Permission.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/Shift.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/SystemUser.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/SystemUserPermission.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/UserNotification.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Entities/UserNotificationRecipient.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Enums/AnnouncementStudioEnums.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Enums/AttendanceSource.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Enums/AttendanceStatus.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Enums/DependentRelation.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Enums/EmployeeRecordType.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Enums/HrProcessType.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Enums/LeaveStatus.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Enums/LeaveType.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Enums/PayrollCutoffBasis.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Enums/PayrollCutoffType.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Enums/PayrollFrequency.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Enums/PeopleDataScopeType.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Enums/PermissionEffect.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Enums/SystemUserRole.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/Leave/IraqiLeavePolicy.cs,SmartAttendance.Domain,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Domain/SmartAttendance.Domain.csproj,SmartAttendance.Domain,csproj,SOURCE,NOT REVIEWED,
SmartAttendance.E2E/SmartAttendance.E2E.csproj,SmartAttendance.E2E,csproj,SOURCE,NOT REVIEWED,
SmartAttendance.E2E/SmokeTests.cs,SmartAttendance.E2E,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Infrastructure/Migrations/20260630180127_InitialCreate.Designer.cs,SmartAttendance.Infrastructure,cs,GENERATED,GENERATED - VERIFIED,EF Core scaffolding emitted by dotnet ef
SmartAttendance.Infrastructure/Migrations/20260630180127_InitialCreate.cs,SmartAttendance.Infrastructure,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Infrastructure/Migrations/20260702225514_UpdateShiftGraceColumns.Designer.cs,SmartAttendance.Infrastructure,cs,GENERATED,GENERATED - VERIFIED,EF Core scaffolding emitted by dotnet ef
SmartAttendance.Infrastructure/Migrations/20260702225514_UpdateShiftGraceColumns.cs,SmartAttendance.Infrastructure,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Infrastructure/Migrations/20260702231709_AddHolidaysAndLeaveRequestsModule.Designer.cs,SmartAttendance.Infrastructure,cs,GENERATED,GENERATED - VERIFIED,EF Core scaffolding emitted by dotnet ef
SmartAttendance.Infrastructure/Migrations/20260702231709_AddHolidaysAndLeaveRequestsModule.cs,SmartAttendance.Infrastructure,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Infrastructure/Migrations/20260702233411_AddSystemUsersModule.Designer.cs,SmartAttendance.Infrastructure,cs,GENERATED,GENERATED - VERIFIED,EF Core scaffolding emitted by dotnet ef
SmartAttendance.Infrastructure/Migrations/20260702233411_AddSystemUsersModule.cs,SmartAttendance.Infrastructure,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Infrastructure/Migrations/20260702233930_AddFlexiblePermissionsModule.Designer.cs,SmartAttendance.Infrastructure,cs,GENERATED,GENERATED - VERIFIED,EF Core scaffolding emitted by dotnet ef
SmartAttendance.Infrastructure/Migrations/20260702233930_AddFlexiblePermissionsModule.cs,SmartAttendance.Infrastructure,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Infrastructure/Migrations/20260702234437_AddDirectEmployeePermissionsModule.Designer.cs,SmartAttendance.Infrastructure,cs,GENERATED,GENERATED - VERIFIED,EF Core scaffolding emitted by dotnet ef
SmartAttendance.Infrastructure/Migrations/20260702234437_AddDirectEmployeePermissionsModule.cs,SmartAttendance.Infrastructure,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Infrastructure/Migrations/20260703113220_AddWeeklyOffDaysToEmployeeShifts.Designer.cs,SmartAttendance.Infrastructure,cs,GENERATED,GENERATED - VERIFIED,EF Core scaffolding emitted by dotnet ef
SmartAttendance.Infrastructure/Migrations/20260703113220_AddWeeklyOffDaysToEmployeeShifts.cs,SmartAttendance.Infrastructure,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Infrastructure/Migrations/20260703142930_AddEmployeePosition.Designer.cs,SmartAttendance.Infrastructure,cs,GENERATED,GENERATED - VERIFIED,EF Core scaffolding emitted by dotnet ef
SmartAttendance.Infrastructure/Migrations/20260703142930_AddEmployeePosition.cs,SmartAttendance.Infrastructure,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Infrastructure/Migrations/20260706211359_AddEmployeeViolationCasesDbFix.Designer.cs,SmartAttendance.Infrastructure,cs,GENERATED,GENERATED - VERIFIED,EF Core scaffolding emitted by dotnet ef
SmartAttendance.Infrastructure/Migrations/20260706211359_AddEmployeeViolationCasesDbFix.cs,SmartAttendance.Infrastructure,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Infrastructure/Migrations/20260708064932_SomeeDeploySync_20260708.Designer.cs,SmartAttendance.Infrastructure,cs,GENERATED,GENERATED - VERIFIED,EF Core scaffolding emitted by dotnet ef
SmartAttendance.Infrastructure/Migrations/20260708064932_SomeeDeploySync_20260708.cs,SmartAttendance.Infrastructure,cs,SOURCE,NOT REVIEWED,
